Date,Time,Weather,Temperature,Felt,Base Layer Top,Sweater,Base Layer Bottom,Jacket,Hood,Gloves,Scarf,Winter shoes
2018-12-24,11:00,sunny,8,hot,1,0,1,1,1,1,1,1
2018-12-24,11:00,sunny,8,normal,1,0,0,1,1,0,0,1
2018-12-25,12:00,cloudy,8,cold,1,1,1,1,1,0,0,0
2018-12-25,16:30,cloudy,6,cold,1,1,1,1,1,0,0,0
2018-12-26,9:30,cloudy,6,normal,1,0,1,1,1,1,1,1
2018-12-27,9:30,cloudy,4,cold,1,0,1,1,1,1,1,1
2018-12-28,9:30,cloudy,6,normal,1,0,0,1,1,1,1,1
2018-12-29,21:30,cloudy,10,cold,1,0,1,1,1,1,0,1
2018-12-29,21:30,cloudy,10,very cold,1,0,0,1,1,1,0,1
2019-01-02,15:30,cloudy,6,cold,1,0,1,1,1,1,0,1
2019-01-14,9:10,sun with clouds,5,normal,1,1,1,1,1,1,0,1
2019-01-18,9:38,sunny,1,normal,1,1,1,1,1,1,0,1
2019-01-19,11:14,sunny,1,normal,1,1,1,1,1,1,0,1
2019-01-21,9:56,sunny,-1,cold,1,1,1,1,1,1,0,1
2019-01-22,9:57,cloudy,-1,cold,1,1,1,2,1,1,1,1
2019-02-04,18:43,rain,3,very cold,1,1,1,2,1,2,1,1
2019-02-24,17:00,sunny,10,normal,1,0,1,1,1,0,0,0
2019-02-24,17:00,sunny,10,cold,0,0,0,1,0,0,0,0